"","transect","start_x","start_y","direction","x","y","specifiedInclProb","AdjustedInclProb","cluster"
"297",2,340445.273936845,6301192.88548791,196.363636363636,340445.253813091,6301192.8169527,0.00869565217391304,0.00869565217391304,"SPZ.1"
"298",2,340445.273936845,6301192.88548791,196.363636363636,340445.248782152,6301192.7998189,0.00869565217391304,0.00869565217391304,"SPZ.1"
"299",2,340445.273936845,6301192.88548791,196.363636363636,340445.243751214,6301192.78268509,0.00869565217391304,0.00869565217391304,"SPZ.1"
"300",2,340445.273936845,6301192.88548791,196.363636363636,340445.238720275,6301192.76555129,0.00869565217391304,0.00869565217391304,"SPZ.1"
"301",3,339749.273936845,6299530.88548791,327.272727272727,339749.341516947,6299530.78033122,0.00869565217391304,0.00869565217391304,"SPZ.1"
"302",3,339749.273936845,6299530.88548791,327.272727272727,339749.331862647,6299530.79535361,0.00869565217391304,0.00869565217391304,"SPZ.1"
"303",3,339749.273936845,6299530.88548791,327.272727272727,339749.322208347,6299530.81037599,0.00869565217391304,0.00869565217391304,"SPZ.1"
"304",3,339749.273936845,6299530.88548791,327.272727272727,339749.312554046,6299530.82539837,0.00869565217391304,0.00869565217391304,"SPZ.1"
"305",3,339749.273936845,6299530.88548791,327.272727272727,339749.302899746,6299530.84042076,0.00869565217391304,0.00869565217391304,"SPZ.1"
"306",3,339749.273936845,6299530.88548791,327.272727272727,339749.293245446,6299530.85544314,0.00869565217391304,0.00869565217391304,"SPZ.1"
"307",3,339749.273936845,6299530.88548791,327.272727272727,339749.283591145,6299530.87046553,0.00869565217391304,0.00869565217391304,"SPZ.1"
"308",3,339749.273936845,6299530.88548791,327.272727272727,339749.273936845,6299530.88548791,0.00869565217391304,0.00869565217391304,"SPZ.1"
"309",3,339749.273936845,6299530.88548791,327.272727272727,339749.264282545,6299530.9005103,0.00869565217391304,0.00869565217391304,"SPZ.1"
"310",3,339749.273936845,6299530.88548791,327.272727272727,339749.254628244,6299530.91553268,0.00869565217391304,0.00869565217391304,"SPZ.1"
"311",3,339749.273936845,6299530.88548791,327.272727272727,339749.244973944,6299530.93055507,0.00869565217391304,0.00869565217391304,"SPZ.1"
"312",3,339749.273936845,6299530.88548791,327.272727272727,339749.235319644,6299530.94557745,0.00869565217391304,0.00869565217391304,"SPZ.1"
