"","X","transect","start_x","start_y","direction","specifiedInclProb","AdjustedInclProb","cluster","x","y","long","lat"
"222",222,9,348570.00012302,6287635.00001984,98.1818181818182,6.83939357165877e-05,6.83939357165877e-05,"NPZ9",115.370040422626,-33.5403136334927,"115 22.2024253575607","-33 32.418818009562"
"223",223,9,348570.00012302,6287635.00001984,98.1818181818182,6.83939357165877e-05,6.83939357165877e-05,"NPZ9",115.370151182038,-33.5403284606478,"115 22.2090709222801","-33 32.4197076388681"
"224",224,9,348570.00012302,6287635.00001984,98.1818181818182,6.83939357165877e-05,6.83939357165877e-05,"NPZ9",115.370261941491,-33.5403432877048,"115 22.2157164894597","-33 32.4205972622881"
"225",225,9,348570.00012302,6287635.00001984,98.1818181818182,6.83939357165877e-05,6.83939357165877e-05,"NPZ9",115.370372700987,-33.5403581146637,"115 22.2223620592199","-33 32.4214868798219"
"226",226,1,334370.00012302,6281385.00001984,98.1818181818182,0.000250051255706042,0.000250051255706042,"HPZ1",115.213677403966,-33.5942369295773,"115 12.8206442379606","-33 35.6542157746378"
"227",227,1,334370.00012302,6281385.00001984,98.1818181818182,0.000250051255706042,0.000250051255706042,"HPZ1",115.213788198709,-33.5942518979501,"115 12.82729192254","-33 35.6551138770061"
"228",228,1,334370.00012302,6281385.00001984,98.1818181818182,0.000250051255706042,0.000250051255706042,"HPZ1",115.213898993494,-33.5942668662249,"115 12.8339396096397","-33 35.6560119734939"
"229",229,1,334370.00012302,6281385.00001984,98.1818181818182,0.000250051255706042,0.000250051255706042,"HPZ1",115.214009788321,-33.5942818344016,"115 12.8405872992599","-33 35.6569100640959"
"230",230,1,334370.00012302,6281385.00001984,98.1818181818182,0.000250051255706042,0.000250051255706042,"HPZ1",115.214120583192,-33.5942968024803,"115 12.8472349915198","-33 35.657808148818"
"231",231,1,334370.00012302,6281385.00001984,98.1818181818182,0.000250051255706042,0.000250051255706042,"HPZ1",115.214231378106,-33.5943117704608,"115 12.8538826863602","-33 35.658706227648"
"232",232,1,334370.00012302,6281385.00001984,98.1818181818182,0.000250051255706042,0.000250051255706042,"HPZ1",115.214342173062,-33.5943267383433,"115 12.86053038372","-33 35.6596043005979"
"233",233,1,334370.00012302,6281385.00001984,98.1818181818182,0.000250051255706042,0.000250051255706042,"HPZ1",115.214452968061,-33.5943417061279,"115 12.8671780836594","-33 35.6605023676741"
"234",234,1,334370.00012302,6281385.00001984,98.1818181818182,0.000250051255706042,0.000250051255706042,"HPZ1",115.214563763103,-33.5943566738143,"115 12.8738257861803","-33 35.6614004288582"
"235",235,1,334370.00012302,6281385.00001984,98.1818181818182,0.000250051255706042,0.000250051255706042,"HPZ1",115.214674558188,-33.5943716414027,"115 12.8804734912798","-33 35.6622984841621"
"236",236,1,334370.00012302,6281385.00001984,98.1818181818182,0.000250051255706042,0.000250051255706042,"HPZ1",115.214785353316,-33.594386608893,"115 12.8871211989598","-33 35.6631965335798"
"237",237,1,334370.00012302,6281385.00001984,98.1818181818182,0.000250051255706042,0.000250051255706042,"HPZ1",115.214896148486,-33.5944015762853,"115 12.8937689091603","-33 35.664094577118"
"238",238,1,334370.00012302,6281385.00001984,98.1818181818182,0.000250051255706042,0.000250051255706042,"HPZ1",115.215006943699,-33.5944165435795,"115 12.9004166219393","-33 35.66499261477"
"239",239,1,334370.00012302,6281385.00001984,98.1818181818182,0.000250051255706042,0.000250051255706042,"HPZ1",115.215117738956,-33.5944315107757,"115 12.90706433736","-33 35.6658906465421"
"240",240,1,334370.00012302,6281385.00001984,98.1818181818182,0.000250051255706042,0.000250051255706042,"HPZ1",115.215228534255,-33.5944464778738,"115 12.9137120553001","-33 35.6667886724281"
"241",241,1,334370.00012302,6281385.00001984,98.1818181818182,0.000250051255706042,0.000250051255706042,"HPZ1",115.215339329596,-33.5944614448739,"115 12.9203597757606","-33 35.6676866924339"
"242",242,1,334370.00012302,6281385.00001984,98.1818181818182,0.000250051255706042,0.000250051255706042,"HPZ1",115.215450124981,-33.5944764117758,"115 12.9270074988599","-33 35.6685847065482"
"243",243,1,334370.00012302,6281385.00001984,98.1818181818182,0.000250051255706042,0.000250051255706042,"HPZ1",115.215560920409,-33.5944913785799,"115 12.9336552245407","-33 35.6694827147941"
"244",244,1,334370.00012302,6281385.00001984,98.1818181818182,0.000250051255706042,0.000250051255706042,"HPZ1",115.215671715879,-33.5945063452858,"115 12.9403029527399","-33 35.670380717148"
"245",245,1,334370.00012302,6281385.00001984,98.1818181818182,0.000250051255706042,0.000250051255706042,"HPZ1",115.215782511392,-33.5945213118936,"115 12.9469506835206","-33 35.6712787136161"
"246",246,1,334370.00012302,6281385.00001984,98.1818181818182,0.000250051255706042,0.000250051255706042,"HPZ1",115.215893306948,-33.5945362784034,"115 12.9535984168799","-33 35.6721767042041"
"247",247,1,334370.00012302,6281385.00001984,98.1818181818182,0.000250051255706042,0.000250051255706042,"HPZ1",115.216004102547,-33.5945512448151,"115 12.9602461528198","-33 35.673074688906"
"248",248,1,334370.00012302,6281385.00001984,98.1818181818182,0.000250051255706042,0.000250051255706042,"HPZ1",115.216114898188,-33.5945662111288,"115 12.9668938912801","-33 35.673972667728"
"249",249,1,334370.00012302,6281385.00001984,98.1818181818182,0.000250051255706042,0.000250051255706042,"HPZ1",115.216225693873,-33.5945811773445,"115 12.97354163238","-33 35.67487064067"
"250",250,1,334370.00012302,6281385.00001984,98.1818181818182,0.000250051255706042,0.000250051255706042,"HPZ1",115.2163364896,-33.594596143462,"115 12.9801893759994","-33 35.67576860772"
"251",251,2,333870.00012302,6284585.00001984,130.909090909091,0.000157485648918454,0.000157485648918454,"HPZ2",115.209214444243,-33.5647376429829,"115 12.5528666545802","-33 33.8842585789738"
"252",252,2,333870.00012302,6284585.00001984,130.909090909091,0.000157485648918454,0.000157485648918454,"HPZ2",115.209297949966,-33.5648003662115,"115 12.5578769979601","-33 33.8880219726901"
"253",253,2,333870.00012302,6284585.00001984,130.909090909091,0.000157485648918454,0.000157485648918454,"HPZ2",115.209381455811,-33.5648630893871,"115 12.5628873486596","-33 33.8917853632263"
"254",254,2,333870.00012302,6284585.00001984,130.909090909091,0.000157485648918454,0.000157485648918454,"HPZ2",115.209464961777,-33.5649258125098,"115 12.5678977066205","-33 33.895548750588"
"255",255,2,333870.00012302,6284585.00001984,130.909090909091,0.000157485648918454,0.000157485648918454,"HPZ2",115.209548467864,-33.5649885355794,"115 12.5729080718399","-33 33.8993121347642"
"256",256,2,333870.00012302,6284585.00001984,130.909090909091,0.000157485648918454,0.000157485648918454,"HPZ2",115.209631974072,-33.565051258596,"115 12.5779184443197","-33 33.9030755157599"
"257",257,2,333870.00012302,6284585.00001984,130.909090909091,0.000157485648918454,0.000157485648918454,"HPZ2",115.209715480402,-33.5651139815596,"115 12.5829288241201","-33 33.9068388935758"
"258",258,2,333870.00012302,6284585.00001984,130.909090909091,0.000157485648918454,0.000157485648918454,"HPZ2",115.209798986853,-33.5651767044703,"115 12.58793921118","-33 33.9106022682182"
"259",259,2,333870.00012302,6284585.00001984,130.909090909091,0.000157485648918454,0.000157485648918454,"HPZ2",115.209882493426,-33.565239427328,"115 12.5929496055595","-33 33.9143656396802"
"260",260,2,333870.00012302,6284585.00001984,130.909090909091,0.000157485648918454,0.000157485648918454,"HPZ2",115.20996600012,-33.5653021501326,"115 12.5979600072004","-33 33.9181290079561"
"261",261,2,333870.00012302,6284585.00001984,130.909090909091,0.000157485648918454,0.000157485648918454,"HPZ2",115.210049506935,-33.5653648728844,"115 12.6029704160998","-33 33.921892373064"
"262",262,2,333870.00012302,6284585.00001984,130.909090909091,0.000157485648918454,0.000157485648918454,"HPZ2",115.210133013872,-33.565427595583,"115 12.6079808323198","-33 33.9256557349802"
"263",263,2,333870.00012302,6284585.00001984,130.909090909091,0.000157485648918454,0.000157485648918454,"HPZ2",115.21021652093,-33.5654903182287,"115 12.6129912558002","-33 33.9294190937219"
"264",264,2,333870.00012302,6284585.00001984,130.909090909091,0.000157485648918454,0.000157485648918454,"HPZ2",115.210300028109,-33.5655530408214,"115 12.6180016865401","-33 33.933182449284"
"265",265,2,333870.00012302,6284585.00001984,130.909090909091,0.000157485648918454,0.000157485648918454,"HPZ2",115.21038353541,-33.5656157633611,"115 12.6230121246005","-33 33.9369458016661"
"266",266,2,333870.00012302,6284585.00001984,130.909090909091,0.000157485648918454,0.000157485648918454,"HPZ2",115.210467042832,-33.5656784858478,"115 12.6280225699195","-33 33.9407091508678"
"267",267,2,333870.00012302,6284585.00001984,130.909090909091,0.000157485648918454,0.000157485648918454,"HPZ2",115.210550550375,-33.5657412082815,"115 12.6330330224999","-33 33.9444724968901"
"268",268,2,333870.00012302,6284585.00001984,130.909090909091,0.000157485648918454,0.000157485648918454,"HPZ2",115.21063405804,-33.5658039306623,"115 12.6380434823999","-33 33.948235839738"
"269",269,2,333870.00012302,6284585.00001984,130.909090909091,0.000157485648918454,0.000157485648918454,"HPZ2",115.210717565826,-33.56586665299,"115 12.6430539495603","-33 33.9519991794002"
"270",270,2,333870.00012302,6284585.00001984,130.909090909091,0.000157485648918454,0.000157485648918454,"HPZ2",115.210801073734,-33.5659293752648,"115 12.6480644240403","-33 33.9557625158882"
"271",271,2,333870.00012302,6284585.00001984,130.909090909091,0.000157485648918454,0.000157485648918454,"HPZ2",115.210884581762,-33.5659920974865,"115 12.6530749057206","-33 33.95952584919"
"272",272,2,333870.00012302,6284585.00001984,130.909090909091,0.000157485648918454,0.000157485648918454,"HPZ2",115.210968089912,-33.5660548196551,"115 12.6580853947196","-33 33.9632891793061"
"273",273,2,333870.00012302,6284585.00001984,130.909090909091,0.000157485648918454,0.000157485648918454,"HPZ2",115.211051598184,-33.5661175417709,"115 12.6630958910401","-33 33.9670525062541"
"274",274,2,333870.00012302,6284585.00001984,130.909090909091,0.000157485648918454,0.000157485648918454,"HPZ2",115.211135106577,-33.5661802638336,"115 12.6681063946201","-33 33.9708158300161"
"275",275,2,333870.00012302,6284585.00001984,130.909090909091,0.000157485648918454,0.000157485648918454,"HPZ2",115.211218615091,-33.5662429858434,"115 12.6731169054595","-33 33.9745791506042"
"276",276,3,335070.00012302,6283235.00001984,32.7272727272727,0.000157485648918454,0.000157485648918454,"HPZ3",115.222142407524,-33.5787846099193,"115 13.3285444514399","-33 34.7270765951582"
"277",277,3,335070.00012302,6283235.00001984,32.7272727272727,0.000157485648918454,0.000157485648918454,"HPZ3",115.222204683876,-33.5787064809497,"115 13.3322810325597","-33 34.722388856982"
"278",278,3,335070.00012302,6283235.00001984,32.7272727272727,0.000157485648918454,0.000157485648918454,"HPZ3",115.222266960115,-33.5786283519441,"115 13.3360176068993","-33 34.7177011166459"
"279",279,3,335070.00012302,6283235.00001984,32.7272727272727,0.000157485648918454,0.000157485648918454,"HPZ3",115.222329236239,-33.5785502229026,"115 13.3397541743402","-33 34.7130133741559"
"280",280,3,335070.00012302,6283235.00001984,32.7272727272727,0.000157485648918454,0.000157485648918454,"HPZ3",115.222391512249,-33.5784720938251,"115 13.3434907349399","-33 34.708325629506"
"281",281,3,335070.00012302,6283235.00001984,32.7272727272727,0.000157485648918454,0.000157485648918454,"HPZ3",115.222453788145,-33.5783939647115,"115 13.3472272887001","-33 34.7036378826902"
"282",282,3,335070.00012302,6283235.00001984,32.7272727272727,0.000157485648918454,0.000157485648918454,"HPZ3",115.222516063927,-33.5783158355621,"115 13.35096383562","-33 34.6989501337261"
"283",283,3,335070.00012302,6283235.00001984,32.7272727272727,0.000157485648918454,0.000157485648918454,"HPZ3",115.222578339594,-33.5782377063766,"115 13.3547003756394","-33 34.694262382596"
"284",284,3,335070.00012302,6283235.00001984,32.7272727272727,0.000157485648918454,0.000157485648918454,"HPZ3",115.222640615148,-33.5781595771552,"115 13.3584369088795","-33 34.6895746293119"
"285",285,3,335070.00012302,6283235.00001984,32.7272727272727,0.000157485648918454,0.000157485648918454,"HPZ3",115.222702890588,-33.5780814478978,"115 13.3621734352802","-33 34.684886873868"
"286",286,3,335070.00012302,6283235.00001984,32.7272727272727,0.000157485648918454,0.000157485648918454,"HPZ3",115.222765165913,-33.5780033186044,"115 13.3659099547804","-33 34.6801991162642"
"287",287,3,335070.00012302,6283235.00001984,32.7272727272727,0.000157485648918454,0.000157485648918454,"HPZ3",115.222827441124,-33.5779251892751,"115 13.3696464674402","-33 34.675511356506"
"288",288,3,335070.00012302,6283235.00001984,32.7272727272727,0.000157485648918454,0.000157485648918454,"HPZ3",115.222889716221,-33.5778470599098,"115 13.3733829732606","-33 34.670823594588"
"289",289,3,335070.00012302,6283235.00001984,32.7272727272727,0.000157485648918454,0.000157485648918454,"HPZ3",115.222951991204,-33.5777689305085,"115 13.3771194722397","-33 34.6661358305098"
"290",290,3,335070.00012302,6283235.00001984,32.7272727272727,0.000157485648918454,0.000157485648918454,"HPZ3",115.223014266073,-33.5776908010713,"115 13.3808559643793","-33 34.6614480642779"
"291",291,3,335070.00012302,6283235.00001984,32.7272727272727,0.000157485648918454,0.000157485648918454,"HPZ3",115.223076540828,-33.5776126715981,"115 13.3845924496806","-33 34.6567602958858"
"292",292,3,335070.00012302,6283235.00001984,32.7272727272727,0.000157485648918454,0.000157485648918454,"HPZ3",115.223138815468,-33.5775345420889,"115 13.3883289280803","-33 34.6520725253339"
"293",293,3,335070.00012302,6283235.00001984,32.7272727272727,0.000157485648918454,0.000157485648918454,"HPZ3",115.223201089995,-33.5774564125438,"115 13.3920653996999","-33 34.6473847526281"
"294",294,3,335070.00012302,6283235.00001984,32.7272727272727,0.000157485648918454,0.000157485648918454,"HPZ3",115.223263364407,-33.5773782829626,"115 13.3958018644199","-33 34.642696977756"
"295",295,3,335070.00012302,6283235.00001984,32.7272727272727,0.000157485648918454,0.000157485648918454,"HPZ3",115.223325638706,-33.5773001533456,"115 13.3995383223596","-33 34.6380092007358"
"296",296,3,335070.00012302,6283235.00001984,32.7272727272727,0.000157485648918454,0.000157485648918454,"HPZ3",115.22338791289,-33.5772220236925,"115 13.4032747733999","-33 34.63332142155"
"297",297,3,335070.00012302,6283235.00001984,32.7272727272727,0.000192104725368669,0.000192104725368669,"HPZ3",115.22345018696,-33.5771438940034,"115 13.4070112175997","-33 34.628633640204"
"298",298,3,335070.00012302,6283235.00001984,32.7272727272727,0.000192104725368669,0.000192104725368669,"HPZ3",115.223512460916,-33.5770657642785,"115 13.4107476549601","-33 34.6239458567102"
"299",299,3,335070.00012302,6283235.00001984,32.7272727272727,0.000192104725368669,0.000192104725368669,"HPZ3",115.223574734758,-33.5769876345176,"115 13.4144840854802","-33 34.6192580710561"
"300",300,3,335070.00012302,6283235.00001984,32.7272727272727,0.000192104725368669,0.000192104725368669,"HPZ3",115.223637008485,-33.5769095047206,"115 13.4182205090998","-33 34.6145702832359"
"301",301,4,335870.00012302,6281635.00001984,327.272727272727,0.000207496824842813,0.000207496824842813,"HPZ4",115.231920335489,-33.5933532831337,"115 13.9152201293395","-33 35.601196988022"
"302",302,4,335870.00012302,6281635.00001984,327.272727272727,0.000207496824842813,0.000207496824842813,"HPZ4",115.231861281215,-33.5932734151977,"115 13.9116768729","-33 35.5964049118619"
"303",303,4,335870.00012302,6281635.00001984,327.272727272727,0.000207496824842813,0.000207496824842813,"HPZ4",115.231802227048,-33.5931935472359,"115 13.9081336228798","-33 35.591612834154"
"304",304,4,335870.00012302,6281635.00001984,327.272727272727,0.000207496824842813,0.000207496824842813,"HPZ4",115.231743172988,-33.5931136792486,"115 13.9045903792799","-33 35.5868207549162"
"305",305,4,335870.00012302,6281635.00001984,327.272727272727,0.000207496824842813,0.000207496824842813,"HPZ4",115.231684119035,-33.5930338112357,"115 13.9010471420993","-33 35.582028674142"
"306",306,4,335870.00012302,6281635.00001984,327.272727272727,0.000207496824842813,0.000207496824842813,"HPZ4",115.231625065189,-33.592953943197,"115 13.89750391134","-33 35.5772365918201"
"307",307,4,335870.00012302,6281635.00001984,327.272727272727,0.000207496824842813,0.000207496824842813,"HPZ4",115.23156601145,-33.5928740751327,"115 13.8939606870001","-33 35.5724445079618"
"308",308,4,335870.00012302,6281635.00001984,327.272727272727,0.000207496824842813,0.000207496824842813,"HPZ4",115.231506957817,-33.5927942070428,"115 13.8904174690203","-33 35.5676524225681"
"309",309,4,335870.00012302,6281635.00001984,327.272727272727,0.000207496824842813,0.000207496824842813,"HPZ4",115.231447904291,-33.5927143389272,"115 13.8868742574598","-33 35.562860335632"
"310",310,4,335870.00012302,6281635.00001984,327.272727272727,0.000207496824842813,0.000207496824842813,"HPZ4",115.231388850872,-33.5926344707861,"115 13.8833310523197","-33 35.5580682471661"
"311",311,4,335870.00012302,6281635.00001984,327.272727272727,0.000250051255706042,0.000250051255706042,"HPZ4",115.23132979756,-33.5925546026192,"115 13.8797878535998","-33 35.5532761571521"
"312",312,4,335870.00012302,6281635.00001984,327.272727272727,0.000250051255706042,0.000250051255706042,"HPZ4",115.231270744354,-33.5924747344267,"115 13.8762446612401","-33 35.5484840656022"
