"","X","transect","start_x","start_y","direction","x","y","specifiedInclProb","AdjustedInclProb","cluster","x.1","y.1","longitude","latitude"
"40",40,2,334405.191138533,6286496.78059977,327.272727272727,334393.927788169,6286514.30671504,0.00887210575967737,0.00887210575967737,"HPZ2","115 12.9729760910404","-33 32.8907243340899","115.12.584E","33.32.534S"
"41",41,2,334405.191138533,6286496.78059977,327.272727272727,334388.296112988,6286523.06977267,0.00887210575967737,0.00887210575967737,"HPZ2","115 12.9694354532995","-33 32.8859318636763","115.12.582E","33.32.532S"
"42",42,2,334405.191138533,6286496.78059977,327.272727272727,334382.664437806,6286531.83283031,0.00887210575967737,0.00887210575967737,"HPZ2","115 12.9658948219197","-33 32.881139391732","115.12.580E","33.32.529S"
"43",43,2,334405.191138533,6286496.78059977,327.272727272727,334377.032762624,6286540.59588794,0.00887210575967737,0.00887210575967737,"HPZ2","115 12.9623541969001","-33 32.8763469182522","115.12.577E","33.32.526S"
"44",44,2,334405.191138533,6286496.78059977,327.272727272727,334371.401087442,6286549.35894557,0.00887210575967737,0.00887210575967737,"HPZ2","115 12.9588135783008","-33 32.8715544432419","115.12.575E","33.32.523S"
"45",45,2,334405.191138533,6286496.78059977,327.272727272727,334365.76941226,6286558.12200321,0.00887210575967737,0.00887210575967737,"HPZ2","115 12.9552729661198","-33 32.8667619666958","115.12.573E","33.32.520S"
"46",46,2,334405.191138533,6286496.78059977,327.272727272727,334360.137737078,6286566.88506084,0.00887210575967737,0.00887210575967737,"HPZ2","115 12.9517323603","-33 32.8619694886198","115.12.571E","33.32.517S"
"47",47,2,334405.191138533,6286496.78059977,327.272727272727,334354.506061897,6286575.64811847,0.00887210575967737,0.00887210575967737,"HPZ2","115 12.9481917608394","-33 32.8571770090142","115.12.569E","33.32.514S"
"48",48,2,334405.191138533,6286496.78059977,327.272727272727,334348.874386715,6286584.41117611,0.00887210575967737,0.00887210575967737,"HPZ2","115 12.9446511678601","-33 32.852384527866","115.12.567E","33.32.511S"
"49",49,2,334405.191138533,6286496.78059977,327.272727272727,334343.242711533,6286593.17423374,0.00887210575967737,0.00887210575967737,"HPZ2","115 12.94111058118","-33 32.8475920451941","115.12.565E","33.32.509S"
"50",50,2,334405.191138533,6286496.78059977,327.272727272727,334337.611036351,6286601.93729138,0.00887210575967737,0.00887210575967737,"HPZ2","115 12.9375700009793","-33 32.8427995609859","115.12.563E","33.32.506S"
"51",51,3,334869.191138533,6287050.78059977,130.909090909091,334774.722441739,6287132.63819152,0.00887210575967737,0.00887210575967737,"HPZ3","115 13.2258283938","-33 32.5598015902617","115.13.135E","33.32.336S"
"52",52,3,334869.191138533,6287050.78059977,130.909090909091,334782.594833138,6287125.81672554,0.00887210575967737,0.00887210575967737,"HPZ3","115 13.2308380150197","-33 32.56356451665","115.13.139E","33.32.338S"
"53",53,3,334869.191138533,6287050.78059977,130.909090909091,334790.467224538,6287118.99525956,0.00887210575967737,0.00887210575967737,"HPZ3","115 13.2358476435601","-33 32.5673274398519","115.13.142E","33.32.340S"
"54",54,3,334869.191138533,6287050.78059977,130.909090909091,334798.339615937,6287112.17379358,0.00887210575967737,0.00887210575967737,"HPZ3","115 13.2408572792997","-33 32.5710903598801","115.13.145E","33.32.343S"
"55",55,3,334869.191138533,6287050.78059977,130.909090909091,334806.212007337,6287105.3523276,0.00887210575967737,0.00887210575967737,"HPZ3","115 13.24586692236","-33 32.5748532767279","115.13.148E","33.32.345S"
"56",56,3,334869.191138533,6287050.78059977,130.909090909091,334814.084398736,6287098.53086162,0.00887210575967737,0.00887210575967737,"HPZ3","115 13.2508765726797","-33 32.5786161903959","115.13.151E","33.32.347S"
"57",57,3,334869.191138533,6287050.78059977,130.909090909091,334821.956790136,6287091.70939564,0.00887210575967737,0.00887210575967737,"HPZ3","115 13.2558862302598","-33 32.5823791008838","115.13.154E","33.32.349S"
"58",58,3,334869.191138533,6287050.78059977,130.909090909091,334829.829181535,6287084.88792966,0.00887210575967737,0.00887210575967737,"HPZ3","115 13.2608958951595","-33 32.5861420081982","115.13.157E","33.32.352S"
"59",59,3,334869.191138533,6287050.78059977,130.909090909091,334837.701572935,6287078.06646369,0.00887210575967737,0.00887210575967737,"HPZ3","115 13.2659055673197","-33 32.5899049123259","115.13.160E","33.32.354S"
"60",60,3,334869.191138533,6287050.78059977,130.909090909091,334845.573964334,6287071.24499771,0.00887210575967737,0.00887210575967737,"HPZ3","115 13.2709152466792","-33 32.5936678132799","115.13.163E","33.32.356S"
"61",61,3,334869.191138533,6287050.78059977,130.909090909091,334853.446355734,6287064.42353173,0.00887210575967737,0.00887210575967737,"HPZ3","115 13.2759249334204","-33 32.5974307110538","115.13.166E","33.32.358S"
"62",62,3,334869.191138533,6287050.78059977,130.909090909091,334861.318747133,6287057.60206575,0.00887210575967737,0.00887210575967737,"HPZ3","115 13.28093462736","-33 32.6011936056481","115.13.169E","33.32.361S"
"63",63,3,334869.191138533,6287050.78059977,130.909090909091,334869.191138533,6287050.78059977,0.00887210575967737,0.00887210575967737,"HPZ3","115 13.28594432856","-33 32.6049564970682","115.13.172E","33.32.363S"
"64",64,3,334869.191138533,6287050.78059977,130.909090909091,334877.063529933,6287043.95913379,0.00887210575967737,0.00887210575967737,"HPZ3","115 13.2909540370805","-33 32.6087193853018","115.13.175E","33.32.365S"
"65",65,3,334869.191138533,6287050.78059977,130.909090909091,334884.935921332,6287037.13766782,0.00887210575967737,0.00887210575967737,"HPZ3","115 13.2959637528596","-33 32.6124822703619","115.13.178E","33.32.367S"
"66",66,3,334869.191138533,6287050.78059977,130.909090909091,334892.808312732,6287030.31620184,0.00887210575967737,0.00887210575967737,"HPZ3","115 13.3009734759001","-33 32.6162451522418","115.13.181E","33.32.370S"
"67",67,3,334869.191138533,6287050.78059977,130.909090909091,334900.680704131,6287023.49473586,0.00887210575967737,0.00887210575967737,"HPZ3","115 13.3059832062601","-33 32.6200080309422","115.13.184E","33.32.372S"
"68",68,3,334869.191138533,6287050.78059977,130.909090909091,334908.553095531,6287016.67326988,0.00887210575967737,0.00887210575967737,"HPZ3","115 13.3109929438195","-33 32.6237709064619","115.13.187E","33.32.374S"
"69",69,3,334869.191138533,6287050.78059977,130.909090909091,334916.42548693,6287009.8518039,0.00887210575967737,0.00887210575967737,"HPZ3","115 13.3160026886995","-33 32.6275337788019","115.13.190E","33.32.377S"
"70",70,3,334869.191138533,6287050.78059977,130.909090909091,334924.29787833,6287003.03033792,0.00887210575967737,0.00887210575967737,"HPZ3","115 13.3210124408399","-33 32.6312966479682","115.13.193E","33.32.379S"
"71",71,3,334869.191138533,6287050.78059977,130.909090909091,334932.170269729,6286996.20887194,0.00887210575967737,0.00887210575967737,"HPZ3","115 13.3260222002398","-33 32.6350595139542","115.13.196E","33.32.381S"
"72",72,3,334869.191138533,6287050.78059977,130.909090909091,334940.042661129,6286989.38740596,0.00887210575967737,0.00887210575967737,"HPZ3","115 13.3310319669603","-33 32.6388223767601","115.13.199E","33.32.383S"
"73",73,3,334869.191138533,6287050.78059977,130.909090909091,334947.915052528,6286982.56593999,0.00887210575967737,0.00887210575967737,"HPZ3","115 13.3360417408801","-33 32.6425852363803","115.13.202E","33.32.386S"
"74",74,3,334869.191138533,6287050.78059977,130.909090909091,334955.787443928,6286975.74447401,0.00887210575967737,0.00887210575967737,"HPZ3","115 13.3410515221204","-33 32.6463480928258","115.13.205E","33.32.388S"
"75",75,3,334869.191138533,6287050.78059977,130.909090909091,334963.659835327,6286968.92300803,0.00887210575967737,0.00887210575967737,"HPZ3","115 13.3460613106203","-33 32.650110946098","115.13.208E","33.32.390S"
"76",76,4,333709.191138533,6285942.78059977,229.090909090909,333803.659835327,6286024.63819152,0.00887210575967737,0.00887210575967737,"HPZ4","115 12.5861987562598","-33 33.1500858959822","115.12.352E","33.33.90S"
"77",77,4,333709.191138533,6285942.78059977,229.090909090909,333795.787443928,6286017.81672554,0.00887210575967737,0.00887210575967737,"HPZ4","115 12.5810368115994","-33 33.1537021284777","115.12.349E","33.33.92S"
"78",78,4,333709.191138533,6285942.78059977,229.090909090909,333787.915052528,6286010.99525956,0.00887210575967737,0.00887210575967737,"HPZ4","115 12.5758748598601","-33 33.1573183571102","115.12.346E","33.33.94S"
"79",79,4,333709.191138533,6285942.78059977,229.090909090909,333780.042661129,6286004.17379358,0.00887210575967737,0.00887210575967737,"HPZ4","115 12.5707129009204","-33 33.1609345818838","115.12.342E","33.33.97S"
"80",80,4,333709.191138533,6285942.78059977,229.090909090909,333772.170269729,6285997.3523276,0.00887210575967737,0.00887210575967737,"HPZ4","115 12.5655509348998","-33 33.1645508027997","115.12.339E","33.33.99S"
"81",81,4,333709.191138533,6285942.78059977,229.090909090909,333764.29787833,6285990.53086162,0.00887210575967737,0.00887210575967737,"HPZ4","115 12.5603889618001","-33 33.1681670198518","115.12.336E","33.33.101S"
"82",82,4,333709.191138533,6285942.78059977,229.090909090909,333756.42548693,6285983.70939564,0.00887210575967737,0.00887210575967737,"HPZ4","115 12.5552269815002","-33 33.1717832330462","115.12.333E","33.33.103S"
"83",83,4,333709.191138533,6285942.78059977,229.090909090909,333748.553095531,6285976.88792966,0.00887210575967737,0.00887210575967737,"HPZ4","115 12.5500649941193","-33 33.1753994423821","115.12.330E","33.33.105S"
"84",84,4,333709.191138533,6285942.78059977,229.090909090909,333740.680704131,6285970.06646369,0.00887210575967737,0.00887210575967737,"HPZ4","115 12.5449029996002","-33 33.1790156478601","115.12.327E","33.33.107S"
"85",85,4,333709.191138533,6285942.78059977,229.090909090909,333732.808312732,6285963.24499771,0.00887210575967737,0.00887210575967737,"HPZ4","115 12.5397409980001","-33 33.182631849474","115.12.324E","33.33.110S"
"86",86,4,333709.191138533,6285942.78059977,229.090909090909,333724.935921332,6285956.42353173,0.00887210575967737,0.00887210575967737,"HPZ4","115 12.5345789892599","-33 33.18624804723","115.12.321E","33.33.112S"
"87",87,4,333709.191138533,6285942.78059977,229.090909090909,333717.063529933,6285949.60206575,0.00887210575967737,0.00887210575967737,"HPZ4","115 12.5294169733796","-33 33.1898642411281","115.12.318E","33.33.114S"
"88",88,4,333709.191138533,6285942.78059977,229.090909090909,333709.191138533,6285942.78059977,0.00887210575967737,0.00887210575967737,"HPZ4","115 12.52425495036","-33 33.1934804311619","115.12.315E","33.33.116S"
